sample_id	dim_1	dim_2	cluster	color
S000	-4.1152	-5.2057	control	-4.42
S001	-4.4235	-4.714	control	-4.56
S002	-4.3973	-4.8642	control	-4.734
S003	-3.8759	-5.6311	control	-3.535
S004	-4.4817	-5.9743	control	-4.023
S005	-4.263	-5.2542	control	-3.879
S006	-4.2412	-4.8045	control	-3.974
S007	-4.13	-5.395	control	-4.386
S008	-4.1295	-5.1258	control	-3.94
S009	-4.373	-4.4627	control	-4.515
S010	-4.2679	-5.2212	control	-4.583
S011	-4.3221	-4.7159	control	-4.015
S012	-4.4793	-5.1536	control	-4.541
S013	-4.6553	-5.5429	control	-4.754
S014	-3.9782	-5.4858	control	-4.049
S015	-4.2833	-5.473	control	-4.34
S016	-4.2462	-4.4952	control	-3.737
S017	-4.3196	-4.7775	control	-4.686
S018	-3.8114	-5.2972	control	-4.158
S019	-4.0417	-5.1145	control	-4.203
S020	-3.7917	-5.0287	control	-3.693
S021	-4.5962	-4.6801	control	-4.908
S022	-4.5199	-4.9241	control	-5.009
S023	-3.8284	-5.1261	control	-4.122
S024	-4.0936	-5.4485	control	-4.271
S025	-3.9909	-5.1538	control	-3.884
S026	-3.6335	-5.558	control	-3.586
S027	-4.1138	-4.8763	control	-3.71
S028	-4.6197	-5.0878	control	-4.633
S029	-3.95	-5.5378	control	-4.084
S030	6.9716	-0.9453	treatment	7.273
S031	6.7029	-0.5882	treatment	6.727
S032	6.5272	-1.0566	treatment	6.549
S033	6.9459	-0.7301	treatment	7.01
S034	6.8439	-0.827	treatment	6.908
S035	7.1312	-0.843	treatment	7.24
S036	6.4783	-0.9417	treatment	6.487
S037	6.55	-1.1566	treatment	5.849
S038	6.3421	-0.7347	treatment	6.945
S039	6.8402	-0.2789	treatment	6.862
S040	7.1682	-0.8012	treatment	6.531
S041	6.4641	-1.481	treatment	6.427
S042	6.9969	-0.2405	treatment	6.876
S043	7.0389	-0.6512	treatment	6.685
S044	7.2768	-1.0478	treatment	7.656
S045	6.6572	-1.2939	treatment	6.269
S046	6.897	-1.1168	treatment	6.668
S047	6.8042	-1.0406	treatment	6.436
S048	6.2717	-0.8339	treatment	6.101
S049	6.5711	-1.3342	treatment	6.783
S050	7.2134	-1.2383	treatment	7.388
S051	6.9353	-0.4723	treatment	6.542
S052	7.0245	-0.8426	treatment	6.814
S053	6.7799	-0.9283	treatment	6.815
S054	7.0113	-0.7056	treatment	7.37
S055	6.4781	-1.0857	treatment	7.132
S056	6.3091	-0.8237	treatment	6.083
S057	6.4092	-0.9959	treatment	6.375
S058	6.4648	-0.8877	treatment	6.432
S059	7.0223	-0.9426	treatment	7.35
S060	-2.7018	5.361	recovery	-3.335
S061	-2.4597	6.0403	recovery	-2.69
S062	-2.6723	5.9081	recovery	-2.582
S063	-2.9018	6.2205	recovery	-2.782
S064	-2.6572	6.27	recovery	-2.794
S065	-2.0461	6.0096	recovery	-1.994
S066	-2.7758	6.701	recovery	-2.98
S067	-2.5887	6.451	recovery	-2.516
S068	-2.63	6.0198	recovery	-2.389
S069	-3.0301	6.2598	recovery	-3.077
S070	-2.9164	5.8187	recovery	-2.661
S071	-2.6406	5.4759	recovery	-2.918
S072	-2.8709	5.5725	recovery	-3.3
S073	-2.6998	5.6951	recovery	-2.935
S074	-2.4983	5.9176	recovery	-3.453
S075	-2.4067	6.233	recovery	-2.533
S076	-2.3078	5.8741	recovery	-2.249
S077	-2.3528	5.8537	recovery	-2.521
S078	-2.0377	6.1288	recovery	-2.324
S079	-2.5616	6.1772	recovery	-2.443
S080	-2.5225	5.7472	recovery	-2.829
S081	-2.2345	6.0979	recovery	-2.494
S082	-2.3445	6.3066	recovery	-2.262
S083	-2.1721	5.9393	recovery	-2.133
S084	-3.1263	5.7697	recovery	-3.058
S085	-2.5333	6.093	recovery	-3.287
S086	-2.8518	6.6691	recovery	-2.716
S087	-2.6756	5.7778	recovery	-2.988
S088	-2.0038	6.6603	recovery	-1.772
S089	-2.9336	5.9471	recovery	-2.629
